Objeto;Ângulo (°);Distancia (m);Altura (m);Tempo (s);Velocidade Média (m/s)
aro;7.73;0.4;0.053802018;0.91;0.43956043956043955
aro;7.73;0.4;0.053802018;0.98;0.40816326530612246
aro;7.73;0.4;0.053802018;0.89;0.44943820224719105
aro;7.73;0.4;0.053802018;0.8;0.5
aro;7.73;0.4;0.053802018;0.78;0.5128205128205129
aro;7.73;0.4;0.053802018;0.79;0.5063291139240507
aro;7.73;0.4;0.053802018;0.87;0.4597701149425288
aro;7.73;0.3;0.040351513;0.68;0.4411764705882352
aro;7.73;0.3;0.040351513;0.7;0.4285714285714286
aro;7.73;0.3;0.040351513;0.84;0.35714285714285715
aro;7.73;0.3;0.040351513;0.78;0.3846153846153846
aro;7.73;0.3;0.040351513;0.85;0.35294117647058826
aro;7.73;0.3;0.040351513;0.61;0.4918032786885246
aro;7.73;0.3;0.040351513;0.78;0.3846153846153846
aro;7.73;0.3;0.040351513;0.72;0.4166666666666667
aro;7.73;0.3;0.040351513;0.78;0.3846153846153846
aro;7.73;0.3;0.040351513;0.77;0.3896103896103896
esfera;3.992;1.0;0.069617187;1.98;0.5050505050505051
esfera;3.992;1.0;0.069617187;1.7;0.5882352941176471
esfera;3.992;1.0;0.069617187;1.67;0.5988023952095809
esfera;3.992;1.0;0.069617187;1.64;0.6097560975609756
esfera;3.992;1.0;0.069617187;1.7;0.5882352941176471
esfera;3.992;1.0;0.069617187;1.72;0.5813953488372093
esfera;3.992;1.0;0.069617187;1.65;0.6060606060606061
esfera;3.992;1.0;0.069617187;1.8;0.5555555555555556
esfera;3.992;1.0;0.069617187;1.77;0.5649717514124294
esfera;3.992;1.0;0.069617187;1.68;0.5952380952380952
esfera;3.992;0.9;0.062655468;1.74;0.5172413793103449
esfera;3.992;0.9;0.062655468;1.53;0.5882352941176471
esfera;3.992;0.9;0.062655468;1.71;0.5263157894736842
esfera;3.992;0.9;0.062655468;1.71;0.5263157894736842
esfera;3.992;0.9;0.062655468;1.61;0.5590062111801242
esfera;3.992;0.9;0.062655468;1.63;0.5521472392638037
esfera;3.992;0.9;0.062655468;1.57;0.5732484076433121
esfera;3.992;0.9;0.062655468;1.78;0.5056179775280899
esfera;3.992;0.9;0.062655468;1.56;0.5769230769230769
esfera;3.992;0.9;0.062655468;1.61;0.5590062111801242
esfera;3.992;0.8;0.055693749;1.49;0.5369127516778524
esfera;3.992;0.8;0.055693749;1.36;0.5882352941176471
esfera;3.992;0.8;0.055693749;1.67;0.4790419161676647
esfera;3.992;0.8;0.055693749;1.48;0.5405405405405406
esfera;3.992;0.8;0.055693749;1.57;0.5095541401273885
esfera;3.992;0.8;0.055693749;1.52;0.5263157894736842
esfera;3.992;0.8;0.055693749;1.59;0.5031446540880503
esfera;3.992;0.8;0.055693749;1.45;0.5517241379310345
esfera;3.992;0.8;0.055693749;1.48;0.5405405405405406
esfera;3.992;0.8;0.055693749;1.48;0.5405405405405406
esfera;3.992;0.7;0.048732031;1.43;0.4895104895104895
esfera;3.992;0.7;0.048732031;1.52;0.4605263157894737
esfera;3.992;0.7;0.048732031;1.48;0.47297297297297297
esfera;3.992;0.7;0.048732031;1.47;0.47619047619047616
esfera;3.992;0.7;0.048732031;1.49;0.4697986577181208
esfera;3.992;0.7;0.048732031;1.44;0.4861111111111111
esfera;3.992;0.7;0.048732031;1.57;0.4458598726114649
esfera;3.992;0.7;0.048732031;1.5;0.4666666666666666
esfera;3.992;0.7;0.048732031;1.63;0.4294478527607362
esfera;3.992;0.7;0.048732031;1.52;0.4605263157894737
esfera;3.992;0.6;0.041770312;1.37;0.437956204379562
esfera;3.992;0.6;0.041770312;1.33;0.45112781954887216
esfera;3.992;0.6;0.041770312;1.46;0.410958904109589
esfera;3.992;0.6;0.041770312;1.41;0.425531914893617
esfera;3.992;0.6;0.041770312;1.43;0.4195804195804196
esfera;3.992;0.6;0.041770312;1.43;0.4195804195804196
esfera;3.992;0.6;0.041770312;1.56;0.3846153846153846
esfera;3.992;0.6;0.041770312;1.38;0.4347826086956522
esfera;3.992;0.6;0.041770312;1.4;0.4285714285714286
esfera;3.992;0.6;0.041770312;1.42;0.4225352112676056
esfera;3.992;0.5;0.034808593;1.39;0.3597122302158274
esfera;3.992;0.5;0.034808593;1.49;0.33557046979865773
esfera;3.992;0.5;0.034808593;1.4;0.35714285714285715
esfera;3.992;0.5;0.034808593;1.27;0.39370078740157477
esfera;3.992;0.5;0.034808593;1.35;0.37037037037037035
esfera;3.992;0.5;0.034808593;1.37;0.36496350364963503
esfera;3.992;0.5;0.034808593;1.45;0.3448275862068966
esfera;3.992;0.5;0.034808593;1.48;0.33783783783783783
esfera;3.992;0.5;0.034808593;1.37;0.36496350364963503
esfera;3.992;0.5;0.034808593;1.42;0.35211267605633806
esfera;3.992;0.4;0.027846875;1.28;0.3125
esfera;3.992;0.4;0.027846875;1.32;0.30303030303030304
esfera;3.992;0.4;0.027846875;1.26;0.3174603174603175
esfera;3.992;0.4;0.027846875;1.24;0.32258064516129037
esfera;3.992;0.4;0.027846875;1.35;0.2962962962962963
esfera;3.992;0.4;0.027846875;1.2;0.33333333333333337
esfera;3.992;0.4;0.027846875;1.17;0.34188034188034194
esfera;3.992;0.4;0.027846875;1.28;0.3125
esfera;3.992;0.4;0.027846875;1.24;0.32258064516129037
esfera;3.992;0.4;0.027846875;1.35;0.2962962962962963
esfera;3.992;0.3;0.020885156;1.08;0.27777777777777773
esfera;3.992;0.3;0.020885156;1.02;0.29411764705882354
esfera;3.992;0.3;0.020885156;1.15;0.2608695652173913
esfera;3.992;0.3;0.020885156;1.12;0.26785714285714285
esfera;3.992;0.3;0.020885156;1.2;0.25
esfera;3.992;0.3;0.020885156;1.08;0.27777777777777773
esfera;3.992;0.3;0.020885156;1.05;0.2857142857142857
esfera;3.992;0.3;0.020885156;1.0;0.3
esfera;3.992;0.3;0.020885156;1.09;0.2752293577981651
esfera;3.992;0.3;0.020885156;1.18;0.2542372881355932
aro;3.992;1.0;0.069617187;2.34;0.4273504273504274
aro;3.992;1.0;0.069617187;2.13;0.4694835680751174
aro;3.992;1.0;0.069617187;2.12;0.4716981132075471
aro;3.992;1.0;0.069617187;2.12;0.4716981132075471
aro;3.992;1.0;0.069617187;2.23;0.4484304932735426
aro;3.992;1.0;0.069617187;2.22;0.4504504504504504
aro;3.992;1.0;0.069617187;2.03;0.4926108374384237
aro;3.992;1.0;0.069617187;2.19;0.4566210045662101
aro;3.992;1.0;0.069617187;1.96;0.5102040816326531
